Listing Id 1,Listing Id 2,Close Price 1,Close Price 2,Above Grade Finished Area 1,Above Grade Finished Area 2,Close Price Difference,Above Grade Finished Area Difference,Price to Value Ratio
2564246,9695808,545000.0,470000.0,1834.0,1779.0,75000.0,55.0,1363.6363636363637
2564246,6273108,545000.0,450000.0,1834.0,1779.0,95000.0,55.0,1727.2727272727273
7672518,9525006,512000.0,449900.0,1000.0,1256.0,62100.0,256.0,242.578125
1505114,3326415,561000.0,550000.0,1380.0,850.0,11000.0,530.0,20.754716981132077
1505114,8577349,561000.0,500000.0,1380.0,1100.0,61000.0,280.0,217.85714285714286
1505114,IR972958,561000.0,460000.0,1380.0,1150.0,101000.0,230.0,439.1304347826087
1505114,5917917,561000.0,460000.0,1380.0,1150.0,101000.0,230.0,439.1304347826087
1505114,7544812,561000.0,450000.0,1380.0,984.0,111000.0,396.0,280.3030303030303
1505114,3604680,561000.0,410000.0,1380.0,850.0,151000.0,530.0,284.9056603773585
3514617,7479660,495000.0,535000.0,1125.0,850.0,40000.0,275.0,145.45454545454547
3514617,2604145,495000.0,475000.0,1125.0,850.0,20000.0,275.0,72.72727272727273
3514617,9747735,495000.0,330000.0,1125.0,850.0,165000.0,275.0,600.0
3514617,4813491,495000.0,455000.0,1125.0,850.0,40000.0,275.0,145.45454545454547
3514617,2935462,495000.0,443800.0,1125.0,850.0,51200.0,275.0,186.1818181818182
7767747,IR967840,605000.0,535000.0,1750.0,1874.0,70000.0,124.0,564.516129032258
4742527,3150528,538000.0,439000.0,1458.0,1786.0,99000.0,328.0,301.8292682926829
3210187,6047783,500000.0,490000.0,1834.0,1698.0,10000.0,136.0,73.52941176470588
3210187,9695808,500000.0,470000.0,1834.0,1779.0,30000.0,55.0,545.4545454545455
3210187,6273108,500000.0,450000.0,1834.0,1779.0,50000.0,55.0,909.0909090909091
6871117,4866068,518555.0,432000.0,1390.0,850.0,86555.0,540.0,160.28703703703704
3227917,2161020,315000.0,470000.0,1185.0,825.0,155000.0,360.0,430.55555555555554
4805403,4270571,497000.0,500000.0,825.0,1327.0,3000.0,502.0,5.9760956175298805
8665499,6047783,475000.0,490000.0,1850.0,1698.0,15000.0,152.0,98.6842105263158
8665499,9695808,475000.0,470000.0,1850.0,1779.0,5000.0,71.0,70.4225352112676
8665499,6273108,475000.0,450000.0,1850.0,1779.0,25000.0,71.0,352.11267605633805
4533182,6143378,536000.0,439800.0,1856.0,1452.0,96200.0,404.0,238.11881188118812
4533182,2345686,536000.0,521000.0,1856.0,2146.0,15000.0,290.0,51.724137931034484
3326415,8577349,550000.0,500000.0,850.0,1100.0,50000.0,250.0,200.0
3326415,IR972958,550000.0,460000.0,850.0,1150.0,90000.0,300.0,300.0
3326415,5917917,550000.0,460000.0,850.0,1150.0,90000.0,300.0,300.0
3326415,7544812,550000.0,450000.0,850.0,984.0,100000.0,134.0,746.2686567164179
6451879,9525006,470000.0,449900.0,1000.0,1256.0,20100.0,256.0,78.515625
8577349,IR973724,500000.0,480000.0,1100.0,888.0,20000.0,212.0,94.33962264150944
8577349,3744427,500000.0,480000.0,1100.0,888.0,20000.0,212.0,94.33962264150944
8577349,7544812,500000.0,450000.0,1100.0,984.0,50000.0,116.0,431.0344827586207
8577349,3604680,500000.0,410000.0,1100.0,850.0,90000.0,250.0,360.0
6047783,5045231,490000.0,489900.0,1698.0,1834.0,100.0,136.0,0.7352941176470589
6047783,9695808,490000.0,470000.0,1698.0,1779.0,20000.0,81.0,246.91358024691357
6047783,4833621,490000.0,467500.0,1698.0,1834.0,22500.0,136.0,165.44117647058823
6047783,6114754,490000.0,475000.0,1698.0,1834.0,15000.0,136.0,110.29411764705883
6047783,6273108,490000.0,450000.0,1698.0,1779.0,40000.0,81.0,493.82716049382714
5045231,9695808,489900.0,470000.0,1834.0,1779.0,19900.0,55.0,361.8181818181818
5045231,6273108,489900.0,450000.0,1834.0,1779.0,39900.0,55.0,725.4545454545455
7817574,IR972932,515000.0,520000.0,1264.0,1325.0,5000.0,61.0,81.9672131147541
9695808,4833621,470000.0,467500.0,1779.0,1834.0,2500.0,55.0,45.45454545454545
9695808,6114754,470000.0,475000.0,1779.0,1834.0,5000.0,55.0,90.9090909090909
3150528,2516135,439000.0,370000.0,1786.0,1240.0,69000.0,546.0,126.37362637362638
3505430,7508552,476500.0,372500.0,1480.0,1983.0,104000.0,503.0,206.75944333996023
3505430,2345686,476500.0,521000.0,1480.0,2146.0,44500.0,666.0,66.81681681681681
3505430,7518097,476500.0,397500.0,1480.0,1983.0,79000.0,503.0,157.0576540755467
4833621,6273108,467500.0,450000.0,1834.0,1779.0,17500.0,55.0,318.1818181818182
IR973724,IR972958,480000.0,460000.0,888.0,1150.0,20000.0,262.0,76.33587786259542
IR973724,5917917,480000.0,460000.0,888.0,1150.0,20000.0,262.0,76.33587786259542
3744427,IR972958,480000.0,460000.0,888.0,1150.0,20000.0,262.0,76.33587786259542
3744427,5917917,480000.0,460000.0,888.0,1150.0,20000.0,262.0,76.33587786259542
6478272,6964114,444000.0,500000.0,1650.0,1765.0,56000.0,115.0,486.95652173913044
IR972958,7544812,460000.0,450000.0,1150.0,984.0,10000.0,166.0,60.24096385542169
IR972958,3604680,460000.0,410000.0,1150.0,850.0,50000.0,300.0,166.66666666666666
5917917,7544812,460000.0,450000.0,1150.0,984.0,10000.0,166.0,60.24096385542169
5917917,3604680,460000.0,410000.0,1150.0,850.0,50000.0,300.0,166.66666666666666
1518868,7686758,425000.0,480000.0,850.0,1125.0,55000.0,275.0,200.0
8796724,7544812,472500.0,450000.0,850.0,984.0,22500.0,134.0,167.91044776119404
6114754,6273108,475000.0,450000.0,1834.0,1779.0,25000.0,55.0,454.54545454545456
9525006,1998529,449900.0,485000.0,1256.0,1000.0,35100.0,256.0,137.109375
7544812,3604680,450000.0,410000.0,984.0,850.0,40000.0,134.0,298.5074626865672
6143378,2345686,439800.0,521000.0,1452.0,2146.0,81200.0,694.0,117.0028818443804
